category,name,price,description,gender,product_image
Trainers,Nike Air Force 1 '07 LV8,SGD 205.00,,Men's,https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_DZ4514-001_a&qlt=85&exclusive=1&qlt=92&wid=363&hei=363&v=1&fmt=auto
Trainers,On Running Cloudnova,SGD 269.00,,Men's,https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_376112_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Nike React Infinity Run Flyknit 4,SGD 249.00,,Men's,https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_DR2665-100_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Nike Dunk Low Retro,SGD 165.00,,Men's,https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_DV0831-101_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Jordan Air 1 High Zoom CMFT 2,SGD 235.00,,Men's,https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_DV1307-107_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Nike Air Max 1,SGD 229.00,,Men's,https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_FD9082-100_a&qlt=85&exclusive=1&qlt=92&wid=363&hei=363&v=1&fmt=auto
Trainers,Converse Chuck 70 AT‑CX High,SGD 179.00,,Men's,https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_A03277C_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Converse Chuck 70 AT‑CX High,SGD 179.00,,Men's,https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_A01682C_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Converse Star Player 76,SGD 129.00,,Men's,https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_A01608C_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Nike Air Zoom Pegasus 40 SE,SGD 219.00,,Men's,https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_FJ1051-100_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
